"user","timestamp","x","y","z","class"
"24c9","2000-01-01 12:00:18",0.7493851,8.350976,0.39983168,"train"
"24c9","2000-01-01 12:00:18",0.35194764,8.231265,0.5746084,"train"
"24c9","2000-01-01 12:00:18",0.055066638,7.9702973,0.8403648,"train"
"24c9","2000-01-01 12:00:18",0.045489833,7.716512,1.2018893,"train"
"24c9","2000-01-01 12:00:18",0.14844051,7.5968018,1.4101849,"train"
"24c9","2000-01-01 12:00:18",0.33518824,7.5345526,1.6783354,"train"
"24c9","2000-01-01 12:00:18",0.25139117,7.529764,1.8938135,"train"
"24c9","2000-01-01 12:00:18",0.30885202,7.656657,2.078167,"train"
"24c9","2000-01-01 12:00:18",0.22505496,7.9583263,2.2409728,"train"
"24c9","2000-01-01 12:00:18",-0.021547815,8.37013,2.3008277,"train"
"24c9","2000-01-01 12:00:18",-0.33997664,8.896853,2.2002714,"train"
"24c9","2000-01-01 12:00:19",-0.46686932,9.572019,2.0039468,"train"
"24c9","2000-01-01 12:00:19",-0.51235914,10.04607,1.9560628,"train"
"24c9","2000-01-01 12:00:19",-0.5482722,10.383653,1.9608512,"train"
"24c9","2000-01-01 12:00:19",-0.50038815,10.611102,1.9369092,"train"
"24c9","2000-01-01 12:00:19",-0.4381389,10.6398325,1.9129672,"train"
"24c9","2000-01-01 12:00:19",-0.2777274,10.668563,1.9201498,"train"
"24c9","2000-01-01 12:00:19",-0.17238252,10.714052,1.99437,"train"
"24c9","2000-01-01 12:00:19",-0.0047884034,10.69011,2.1691468,"train"
"24c9","2000-01-01 12:00:19",0.29927522,10.529699,2.2744915,"train"
"24c9","2000-01-01 12:00:19",0.46208093,10.283096,2.3391352,"train"
"24c9","2000-01-01 12:00:19",0.29209262,9.935937,2.3894134,"train"
"24c9","2000-01-01 12:00:19",0.05267244,9.679757,2.3870192,"train"
"24c9","2000-01-01 12:00:19",-0.34237084,9.473856,2.2984335,"train"
"24c9","2000-01-01 12:00:19",-0.46447513,9.332599,2.2720973,"train"
"24c9","2000-01-01 12:00:19",-0.41180268,9.160215,2.2960393,"train"
"24c9","2000-01-01 12:00:20",-0.44771573,9.064447,2.2601264,"train"
"24c9","2000-01-01 12:00:20",-0.62249243,9.021352,2.1906946,"train"
"24c9","2000-01-01 12:00:20",-0.30885202,8.9279785,2.1547816,"train"
"24c9","2000-01-01 12:00:20",0.10295067,8.827422,2.15957,"train"
"24c9","2000-01-01 12:00:20",0.35913026,8.908825,2.2337902,"train"
"24c9","2000-01-01 12:00:20",0.533907,9.011775,2.2385786,"train"
"24c9","2000-01-01 12:00:20",0.878672,9.045294,2.3343468,"train"
"24c9","2000-01-01 12:00:20",0.9624691,9.131485,2.372654,"train"
"24c9","2000-01-01 12:00:20",1.2330139,9.370906,2.4013844,"train"
"24c9","2000-01-01 12:00:20",1.448492,9.655815,2.3654714,"train"
"24c9","2000-01-01 12:00:20",1.5442601,9.935937,2.3582888,"train"
"24c9","2000-01-01 12:00:20",1.4987702,10.271125,2.1763294,"train"
"24c9","2000-01-01 12:00:20",1.673547,10.539276,1.9440918,"train"
"24c9","2000-01-01 12:00:20",2.0398598,10.702082,1.7022774,"train"
"24c9","2000-01-01 12:00:20",1.9177556,10.8385515,1.4197617,"train"
"24c9","2000-01-01 12:00:21",1.8387469,10.984597,1.2066777,"train"
"24c9","2000-01-01 12:00:21",1.7405846,10.924743,1.1899183,"train"
"24c9","2000-01-01 12:00:21",1.7860745,10.805033,1.2808979,"train"
"24c9","2000-01-01 12:00:21",1.910573,10.656591,1.4556746,"train"
"24c9","2000-01-01 12:00:21",2.0446482,10.477027,1.5227122,"train"
"24c9","2000-01-01 12:00:21",1.8267759,10.172963,1.6400281,"train"
"24c9","2000-01-01 12:00:21",1.4867992,9.746795,1.757344,"train"
"24c9","2000-01-01 12:00:21",1.4532804,9.452309,2.0254946,"train"
"24c9","2000-01-01 12:00:21",1.400608,9.25359,2.3942018,"train"
"24c9","2000-01-01 12:00:21",1.1324574,9.085996,2.9855695,"train"
"24c9","2000-01-01 12:00:21",0.5722142,8.774749,3.5697548,"train"
"24c9","2000-01-01 12:00:21",0.22505496,8.532935,3.7828386,"train"
"24c9","2000-01-01 12:00:21",0.033518825,8.379706,3.8379054,"train"
"24c9","2000-01-01 12:00:21",-0.055066638,8.449138,3.6176388,"train"
"24c9","2000-01-01 12:00:21",-0.4237737,8.604761,3.110068,"train"
"24c9","2000-01-01 12:00:22",-0.5386954,8.690952,2.7030537,"train"
"24c9","2000-01-01 12:00:22",-0.62488663,8.688558,2.5234885,"train"
"24c9","2000-01-01 12:00:22",-0.7326257,8.506598,2.56419,"train"
"24c9","2000-01-01 12:00:22",-0.2681506,8.389283,2.5929205,"train"
"24c9","2000-01-01 12:00:22",-0.007182605,8.616732,2.813187,"train"
"24c9","2000-01-01 12:00:22",-0.023942016,8.832211,2.9352913,"train"
"24c9","2000-01-01 12:00:22",0.1316811,8.901642,2.765303,"train"
"24c9","2000-01-01 12:00:22",0.4381389,8.9998045,2.5570073,"train"
"24c9","2000-01-01 12:00:22",0.7278373,9.052477,2.3822308,"train"
"24c9","2000-01-01 12:00:22",0.9959879,9.018958,2.2768857,"train"
"24c9","2000-01-01 12:00:22",1.2880806,8.992621,2.0446482,"train"
"24c9","2000-01-01 12:00:22",1.4820108,9.028535,1.7764976,"train"
"24c9","2000-01-01 12:00:22",1.6328455,9.136273,1.5346833,"train"
"24c9","2000-01-01 12:00:22",1.757344,9.227253,1.3096284,"train"
"24c9","2000-01-01 12:00:22",1.8555063,9.409213,1.2018893,"train"
"24c9","2000-01-01 12:00:23",1.8315643,9.593566,1.1300632,"train"
"24c9","2000-01-01 12:00:23",1.7142484,9.588778,1.1492168,"train"
"24c9","2000-01-01 12:00:23",1.7980455,9.5385,1.1683705,"train"
"24c9","2000-01-01 12:00:23",1.721431,9.421184,1.3694834,"train"
"24c9","2000-01-01 12:00:23",1.6448165,9.301474,1.6041151,"train"
"24c9","2000-01-01 12:00:23",1.4772224,9.088389,1.7908629,"train"
"24c9","2000-01-01 12:00:23",1.3838485,8.935161,2.1380222,"train"
"24c9","2000-01-01 12:00:23",1.2473791,8.755595,2.6312277,"train"
"24c9","2000-01-01 12:00:23",1.1324574,8.635885,2.992752,"train"
